Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
H_SuH7uLiYahDMbNBB9kog,KoMex Fusion,5.0,3,837,4.5
SMpL3z4FLF07bRA6-y22JQ,Malee's Thai Bistro,5.0,3,359,4.0
CqKiF2X0_4erH02-CUiweQ,J & K Gourmet,5.0,2,62,4.0
m2M7X5ItFvhOC7a6B7JcDg,George and Sons,5.0,2,56,4.5
n7sSfNtNYYcDZVly7_CTWw,Thai Spice,5.0,2,52,3.5
V2OklcMY8gTJ7czpdLwgfA,Chao Thai Restaurant,5.0,2,51,4.0
OfoG4gnacvSo2vG9285njQ,Yao Fine Chinese Cuisine,5.0,2,50,4.0
4_xxWpQKhBWhAOvfVPmFXQ,Yan's Chinese Food #2,5.0,2,42,4.0
yxvh7Hi4OwTiNqEjCMBvXQ,Chop Chop,5.0,2,39,3.0
g4jli0i4Hb-b8kr46Aes7Q,China A Go Go,5.0,2,25,3.5
aJXTOpOX9M81YkS4LnWXqQ,MB China,5.0,2,6,5.0
eWPFXL1Bmu1ImtIa2Rqliw,MGM Grand Hotel,5.0,1,1845,3.5
-7yF42k0CcJhtPw51oaOqQ,Bellagio,5.0,1,1537,4.0
gGeVLZ9j_wAYKbaqgnKSJA,Tao Asian Bistro,5.0,1,820,3.5
1fjgZaW6_qTYoAaSCfI-VQ,"South Point Hotel, Casino and Spa",5.0,1,676,3.5
9A-yUk2Ls9_5i7wFl5TOLw,M Resort Spa Casino,5.0,1,555,4.0
Zh_y9AmSfWZpR2JB9wye-A,True Food Kitchen,5.0,1,432,4.0
QY8CBhPwv6dE4onjhj6MDg,Veggie House,5.0,1,259,4.5
jfDBaBgwINrGYAo8p2MJ4g,China Magic Noodle House,5.0,1,240,4.0
t0yVlH_n9_eEZskHwr5cnQ,Gold Coast Hotel & Casino,5.0,1,233,3.5
c0RSs2KYK5Y-ZlSrNq9LyA,Moto Sushi,5.0,1,211,3.5
uY1hOM4pySx07Yle9NGAiQ,Archi's Thai Cafe,5.0,1,198,4.0
VD7schMLQg85O4M8Gxr28g,Greenland Supermarket,5.0,1,188,4.0
dXhrxTIatUPskg7Jn12iXQ,Imperial Health Spa,5.0,1,176,4.5
YxQ1ssiSvjmprGHKygKfcg,Tonkatsu Kiyoshi,5.0,1,172,4.5
A30MoBPFyMeKxFVkOjNC3A,Pho MaiLan,5.0,1,167,4.0
LH6aLuXW3yShrn_pzrVe8g,Rice & Company,5.0,1,162,3.0
shCdCHRbnY5FTMJbWl-myQ,Thai Spices,5.0,1,141,4.0
Oj79-vTnjQk_jLr6oNbT0Q,Chloe's Corner,5.0,1,127,4.0
k2zE7IsSi2lVpnrjqZXAdw,P F Chang's China Bistro,5.0,1,126,3.5
4Iqcne2F4qY8lahrPA81rA,Merkato Ethiopian Cafe,5.0,1,120,4.0
E4b5OC_6mZ0V7B6Nyjncsg,Tottie's Asian Fusion,5.0,1,118,4.0
YZyjcslUrQ_1eB8P7DhhYA,Ping Pong Thai Restaurant,5.0,1,115,4.0
45dBeYgn3Wlqnc4W0HxDPA,Woo Che,5.0,1,103,3.5
hwXFp8FKJ7ivQb8_f4X23g,La's Thai Cuisine,5.0,1,82,4.0
LbLVO7yqAJGEQ1nK6rEvHA,Siu Wok,5.0,1,78,3.5
v9_MNjWori0tLWErWP7y2g,Bomboba,5.0,1,74,4.0
9Vu9KhK2-kBSM-FXvxXGNg,Pei Wei Asian Diner,5.0,1,63,3.5
S4mUKPBHQeFLuPl2y3-Njg,King & I,5.0,1,63,3.0
W_bEI5C6A2Krw6JTEtZn_w,Chop and Wok,5.0,1,61,3.0
Xa8Umq_plJIURPxM-Lkxmw,Yummy Grill Sushi,5.0,1,59,3.5
dai-Ksa9NOl-0cVS-v9Zzg,New York Chinese Restaurant,5.0,1,58,3.5
A7Ql7MGd3PeUvQx-knr9HQ,Hibachi Grill Super Buffet,5.0,1,58,3.0
7P9k2NQPeIyF1TkH5cKQVg,Lao Thai Kitchen,5.0,1,57,4.0
xzEhmFvpuS_MlmMNTh2egg,Bund Shanghai,5.0,1,56,3.5
fVnwF9ZelwNUTsV_k3XWzw,Penang Malaysian Cuisine,5.0,1,53,3.5
XUYbXm4ZmF_IlZ440HZjpw,King Wong Chinese Food,5.0,1,51,4.5
zlatJeuJl05vsJoHM6XEDA,Red Dragon Chinese Food,5.0,1,48,3.5
IXB3PGgSmw4bjTe9ll-tQw,Phu Thanh,5.0,1,47,4.0
sCv1wUWJhFmQEMw3A4lwXQ,Wong's Restaurant,5.0,1,46,4.0
