Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
-7yF42k0CcJhtPw51oaOqQ,Bellagio,5.0,3,1537,4.0
B0WC52tnLIBSW2s3Wl8HQQ,"Tea, Snow & Coffee",5.0,2,39,4.5
oJ__9ZEkk_kZMhbQn-DZzw,Red Mansion,5.0,2,18,3.5
lliksv-tglfUz1T3B3vgvA,Lotus of Siam,5.0,1,1809,4.0
4UVhuOLaMm2-34SrW8y-ag,Ichiza,5.0,1,1062,4.0
DUdBbrvqfaqUe9GYKmYNtA,The Mirage,5.0,1,1051,3.5
xNcqwYAUeVOhe3KNC4Xjaw,Raku,5.0,1,705,4.5
Zx8_4zKdDBSO3qGrkukBIA,Chino Bandido,5.0,1,660,4.0
dVAurLD1bBIi9IvuMFoL5g,N9NE Steakhouse,5.0,1,592,4.0
2sn5BECdlYxqQlw1VODDoA,Wendy's Noodle Cafe,5.0,1,304,4.0
AumuGuTg3HqvtwbLPi-ZCg,Satay Thai Bistro & Bar,5.0,1,256,4.0
jk8FdDLywUHdjXldS8vtAQ,SnowFlake Shavery,5.0,1,240,4.5
h83afVKqwBlA-zOu_vdtEw,Kyara Japanese Tapas,5.0,1,234,4.0
mANSEm_FbXK6qtB7n6nWgg,Paradise Garden Buffet,5.0,1,228,2.5
VD7schMLQg85O4M8Gxr28g,Greenland Supermarket,5.0,1,188,4.0
mhLN_oiJd7zq6eaOS1Nw1A,Roy's Restaurant,5.0,1,166,4.0
HZjLErXWi1vZWMgsAjBEeQ,Yunnan Garden,5.0,1,163,4.0
lnUXlYMh0UfrtVfnYo9mvw,Shuseki,5.0,1,151,3.5
UcfhBhQoqCJDlIyCbtvcsw,Crown Bakery,5.0,1,138,4.0
m9Wqqma30o-hH2fAX7dnug,Desert Jade,5.0,1,98,4.0
UtUXhKh7vOVvWJF48IzJvQ,P F Chang's China Bistro,5.0,1,95,3.0
OWQJrnXbWkLTI1-qRkkUpQ,Golden Flower Chinese Cuisine,5.0,1,89,4.0
XK5hwOMD3M-cjGVBsEmrIw,Pan Asia Sushi Chinese Fusion,5.0,1,89,3.0
opHJx-AhrybR3mhMRRZF6w,Cana Latin Kitchen & Bar,5.0,1,53,3.5
jHMg63e6JjbM_6cRoiw4qQ,SF Las Vegas Supermarket,5.0,1,50,4.0
Dsvx2LEC8jk9nuGsg1Kqhg,Trader Joe's,5.0,1,43,4.5
vJ4YBTFB0040aqXy8iy2sw,The Original Las Vegas Buffet,5.0,1,38,3.0
3MTev7pYoDTFYdMXOwDrlw,Gold Coast Bowling Center,5.0,1,36,4.0
wUPHVWGmoBU_gykHl1Kzxg,Joyful Chinese Dining,5.0,1,33,3.5
F4hEz6MuDwyvPhkxSIiCrw,Jimmy Chung's,5.0,1,24,3.5
1epH2hHsZ2HoSU8ugWWSOw,Juba,5.0,1,22,4.5
ckZVnb6gF3PPVWkoVhAiEw,Hibachi Grill & Supreme Buffet,5.0,1,22,3.0
PKpNLHBhAfXgZ7TdRDZPfg,Roamin' Dough,5.0,1,19,4.0
2uapF8uioz-DZ2Eq0eeXmQ,QQ Express,5.0,1,17,3.0
wF4FeAIFZUyyhNiaKKNXEQ,Szechuan Cuisine,5.0,1,16,4.0
LQbzGUOXOxYqAWInQ1terw,King Buffet,5.0,1,14,2.5
QrB36ZNI3Y7i3zjvwwP3-g,The Willow House,5.0,1,13,2.5
Vb1tNz0Tlm1q41A4gjY-cg,Great Wall Buffet Two Corporation,5.0,1,10,3.0
JkAsQ6GFj9q2Uv1IcQuOnw,Great China,5.0,1,7,3.5
Z_58BYHARPXTDr07VjBqbg,Diho Supermarket,5.0,1,5,4.5
Bt2JuKNLqSnVympH-mvEVA,Joe's Kitchen,5.0,1,5,4.5
ZD3ZLnzgZ8Hemqcm3hrP3A,Grace Buffet,5.0,1,3,3.5
lJZ6Fmei-JTNb-6AsGVFJg,Orient House,4.75,4,63,4.0
kwD6P2-EV87u6aVOcnAcpQ,Beijing Noodle Cafe,4.666666666666667,3,179,4.0
7_LgHFNEVTqjibY3jIkfZA,Cameron Chinese Seafood Restaurant,4.625,8,17,4.5
1MJ5xmHmeCiau07X2bQyUQ,KJ Kitchen,4.6,5,197,3.5
FV16IeXJp2W6pnghTz2FAw,Pho Kim Long,4.5,2,1314,3.5
IRYj1b1-mlXqABVsl9SoqQ,Tacos El Gordo,4.5,2,1035,4.5
vPnwX30Gn0oa4dVBL0W4Ww,Sura BBQ Buffet,4.5,2,380,3.5
Fb__zkvQX3W7u1A72h4wPw,La Cave Wine and Food Hideaway,4.5,2,285,4.0
