Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
FURgKkRFtMK5yKbjYZVVwA,Windsor,5.0,5,550,4.0
GGyHZtnAA5LBgouB-32ARA,Echo & Rig,5.0,4,344,4.0
I1FRsqEw78xUR2gZBheHOQ,Fukuburger Truck,5.0,3,318,4.0
rYXu8NasDNnLZrmHymaQWg,é by José Andrés,5.0,3,171,4.5
BMl0s3R8_M7ux2TQgAqE_g,Ike's Love & Sandwiches,5.0,3,115,5.0
yJ6E8ICe7jOE7bC8F17rLA,Biscuits Cafe,5.0,3,34,4.0
Jw1ucgEz9SlUKK7_7sqOdw,Tam's,5.0,3,21,4.0
G9U5oXrmpRSiD7kZXCB5Eg,Granny's Kitchen ...... Soul Food,5.0,3,8,3.5
11NjTU-TnxoEJICfsJ44Rg,Old Dixie's,5.0,3,5,5.0
AtjsjFzalWqJ7S9DUFQ4bw,The Cosmopolitan of Las Vegas,5.0,2,2253,4.0
SsTxjxo8qvqBMvan1rzNzg,The Peppermill Restaurant & Fireside Lounge,5.0,2,1215,4.0
JauLZ0TL3D3VIGtSnStzhA,First Food & Bar,5.0,2,361,3.5
qmIT3LC-kMNiOy7_XpWNUA,Marilyn's Cafe,5.0,2,244,4.0
X453V4J1EayCam-DU9d4LQ,Blueberry Hill Family Restaurant,5.0,2,164,4.0
UIjO8lq1Lh0H2l9VfIfifQ,Forequarter,5.0,2,102,4.5
A0XfklsS6vYFWRI9HifTvQ,Bitter & Twisted Cocktail Parlour,5.0,2,68,4.0
NuFs1Sh5wUa7ZLISMtCMRA,Cracker Barrel Restaurant,5.0,2,59,3.5
SzCMZ664veIZpYp4Tk84Hg,Szechwan Garden,5.0,2,51,4.0
67gi179fNUkU5sApNTcrMg,Peppersauce Cafe,5.0,2,50,4.0
cpGv6ES2hzPCtCUQgipwXw,New Orleans Take-Out,5.0,2,43,4.0
8nMjnNkEc5tSwaEXNdanYA,Wings Edinburgh,5.0,2,34,4.5
PSg-nm2d7WLP3Jw2k75KFA,Raising Cane's,5.0,2,23,4.0
PAc86E5fS3oxBk3fakP8qA,Cafe 99,5.0,2,21,3.5
gZAL617H02f32HmY9kpvKA,Wingstop,5.0,2,15,3.5
pbl23PcE__9R04hQkrTO9w,Second Line Creole Caribbean Cuisine,5.0,2,5,4.0
L-KgdXpFq_aSX0OGy5TmEA,Public Kitchen & Bar,5.0,2,4,5.0
xyTJYlbE_MLouK6rCou6zg,Burger Bar,5.0,1,1876,4.0
5paMI5Hhciyl09yGpzdoJw,Intercontinental Alliance Resorts The Palazzo,5.0,1,1464,4.0
kEC7OlpPnZRxCUyVwq7hig,Hard Rock Hotel & Casino,5.0,1,1144,3.0
RhbOa-Ft3sZB4B_1j5LfyA,Mr. Mama's,5.0,1,703,4.5
y4Qyf4PPSOHdQFTr3Zi_KA,Red Rock Casino Resort & Spa,5.0,1,700,4.0
QJlab4DqvBRJPUfg7Vn5ZQ,Spago,5.0,1,658,4.0
-2n-OHbbwIv3SY8RP9bgTQ,Maggiano's Little Italy,5.0,1,616,4.0
dVAurLD1bBIi9IvuMFoL5g,N9NE Steakhouse,5.0,1,592,4.0
9Bnc9YP0n5cR57xkP6fQmQ,Top of the World Restaurant,5.0,1,560,4.0
Gvw2ewUbqq7PWkxKwjqifA,The Barrymore,5.0,1,487,4.5
_6gbnNRPIc-iM_0cBLPX1A,Estiatorio Milos,5.0,1,466,4.0
npfVfumxVAkQNYpY1fSvew,Steak 'n Shake,5.0,1,445,3.5
bgTB6MgdVQssXhkNJ7qIfw,Roka Akor,5.0,1,442,4.0
cp39VURFby4A6u9m2It8jg,Zinburger,5.0,1,442,3.5
FqzgT9Y-Yu7jiWdHnGW-kQ,The Vig,5.0,1,420,4.0
4EhFsjWBSaSp_5TkkLp7LA,Le Cirque,5.0,1,358,4.0
ss5gVggeSmAgMUeL65UvYw,Postino East,5.0,1,338,4.5
MXqmV0513hptrtjihDdf3Q,Vintner Grill,5.0,1,321,4.0
K8dQr_82-DMpDudEv8PDmw,Egg Works,5.0,1,317,4.0
no_FXjscklz1SEzM_XnVgw,Petite Maison,5.0,1,285,4.0
KPoTixdjoJxSqRSEApSAGg,Wild Thaiger,5.0,1,281,4.0
fSs0EdKmLJ7VULejtsi9CQ,Biaggio's Pizzeria,5.0,1,280,4.5
Kle8p08OShKRw5zwH4R1Gg,Vic & Anthony's Steakhouse,5.0,1,274,4.5
N8Q2s-Snz2vL79zB3rEEug,Weary Traveler ,5.0,1,270,4.0
