Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
mhQCxOiqp03qnhGRTtPduw,unPhogettable,5.0,8,326,4.0
YAKjcrBjkF3Q3BQSggtwOA,Lotus Garden,5.0,5,31,5.0
507GX11jtCsVYlzaur05_w,Panda Garden,5.0,4,46,3.5
r0ZoytDjK4CY5ytFNjZLvw,Kinh Do,5.0,3,446,4.0
4NPD3ecBbUdfcS9FAuwJIA,Chanpen Thai Cuisine,5.0,3,134,4.5
NFMlj1TMVqzvo8jlQp0dUA,Pho Viet Vietnamese Restaurant,5.0,3,104,4.5
3T-tuQOo7r0GApFc4sBV-A,Well Being In The Box,5.0,3,50,4.0
rM9uulxPgYf5SdanE2LTvg,El Chullo Peruvian Restaurant & Bar,5.0,3,38,4.5
eC4iEcRR3p5NLq9Zf80ZGg,Imperial Garden Chinese Restaurant,5.0,3,31,3.5
Gv3ivlNN44OJbb1KxVAPRQ,Hawaiian Hale,5.0,3,17,4.0
PNThcRNEFI3azvfhvhd_KA,I Love Burgers,5.0,2,374,3.0
MhMFi7hae_KsaK8lHcg0iQ,Big Wong Restaurant,5.0,2,296,4.0
4GQhbPvGU5r23YdVm8EmkQ,Ferraro's  Restaurant & Wine Bar,5.0,2,275,4.0
bpGFetX8muk0GxAT3Oea3Q,Yummy Grill & Sushi,5.0,2,267,4.5
VumF-JLfeUxfvBdt9JQ_lQ,Spicy Tuna Sushi,5.0,2,136,4.0
0idZ5QJ_divjmPyDzqktZA,Masa Sushi,5.0,2,91,4.0
qcm7pfIdNn9XBuPEtoogbw,Red Thai,5.0,2,64,4.0
fhNeE1t82gn3VksmsJfLXQ,Full House BBQ,5.0,2,61,4.0
m2M7X5ItFvhOC7a6B7JcDg,George and Sons,5.0,2,56,4.5
5npcHq7cvdJlgQen_1n80Q,Ling and Louie's Kitchen,5.0,2,47,3.0
3zn5yjALes8-fxLvpO7_-A,Song Lynn,5.0,2,46,4.0
bI9VF3W1SPQtsIRtfYZzWg,Teriyaki Madness,5.0,2,38,3.5
WrTs9iNJaxWzyi2F5huSkQ,World Noodle,5.0,2,38,3.5
e6Mpww7fKEmnfB4AaCAAyg,Hong Kong Kitchen II,5.0,2,26,4.0
kiA-L7r9uHh2bqUPxuCzNQ,Oriental House,5.0,2,25,4.5
AYAb0qJX5wuT2sRtz4CjpA,The Wok Express,5.0,2,24,4.0
AFcuYBQaZh8GpRjx_ynmnw,Pacific Moon Chinese Cuisine,5.0,2,24,3.5
cEkZp2c0yT8gUdUBr3_MWg,Hao,5.0,2,17,3.5
jcCDwwBoPtvHA2EuBzGP1Q,Lulu's On The Move,5.0,2,16,4.5
OMjskFVMEpwkYDdUtvFAmQ,China Bistro,5.0,2,15,4.5
JLnK5f6Y-YFWI2N2DBrKXw,Boca 7,5.0,2,12,4.5
8K79GC8Vgj8zYMzWy4H7mg,Wok Wei Asian Cuisine,5.0,2,11,4.5
UcEaSZ2nd721f0C67zN23w,Chinatown Restaurant,5.0,2,11,2.5
oC8-aoXrPAjN_eypfte6tQ,Ping's Cafe,5.0,2,10,3.5
SleOaJXu6-eKeCXeykBFJg,Truk-N-Yaki,5.0,2,5,5.0
PthyjS0jCZITwoQgOrdoqA,Truck N Yaki,5.0,2,4,5.0
eWPFXL1Bmu1ImtIa2Rqliw,MGM Grand Hotel,5.0,1,1845,3.5
u9wjRhUjySkHPa_hG3kFOg,Wynn Las Vegas,5.0,1,1525,4.0
5paMI5Hhciyl09yGpzdoJw,Intercontinental Alliance Resorts The Palazzo,5.0,1,1464,4.0
V1nEpIRmEa1768oj_tuxeQ,Cibo,5.0,1,1052,4.5
q_DrPmiLrHEpR_SQvQXELQ,Nobu,5.0,1,697,4.0
tbTc7094zwIYAtU-0NkU4w,Palms Casino Resort,5.0,1,670,3.5
QJlab4DqvBRJPUfg7Vn5ZQ,Spago,5.0,1,658,4.0
OiCxoAIoBvEWxf7p1qVVmA,Sage,5.0,1,646,4.0
b25jGkZerj2M4WAy95n1Tg,Pampas Churrascaria,5.0,1,544,3.0
25fxw_jOqZtJwl18cCarIA,Honey Salt,5.0,1,496,4.0
bqYrEwL5xjqv0u8XAij--Q,Tea Station,5.0,1,442,3.0
OwBPjUz2o0J5K3DzcHkBtg,Soho Japanese Restaurant,5.0,1,424,4.5
ADTZPVMIYJN0jAvvHxcBMw,Buldogis Gourmet Hot Dogs,5.0,1,379,4.5
SwmStS3zjj94aV8M7kYqLg,Wolfgang Puck Pizzeria & Cucina,5.0,1,349,4.0
