Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
c1yGkETheht_1vjda7G5sA,Green,5.0,2,648,4.5
gEx0eIYokdsSZzF64DO7Mg,Pearl,5.0,2,120,3.5
rXLHlQP_ogFsa1JhHLhkEg,Thai Basil,5.0,2,76,3.0
enbTOcl7WNgsjsAtmhvDRA,Mu Shu Asian Grill,5.0,2,66,4.5
ImghNwml8N-ncAqhXe00hg,New Asian Star,5.0,2,51,4.0
V8kqWlhtJg3Uhio-KSeq0A,Sai Wan Bistro,5.0,2,11,3.5
_iohCL0iyZknBRYQozHpLQ,Pick Up Stix,5.0,2,6,4.0
9OFr3nlEDwncUNgbqFKd5w,Pin Kaow Thai,5.0,1,189,4.0
x3ws2L-TlI-JPcEQjjEC9g,Curry Corner,5.0,1,184,3.5
qiZSMdGKw2sIfco4kqJ6wA,East Ocean Dim Sum & Seafood Restaurant,5.0,1,159,3.0
4OOi0RBsJmIzDfTVQ2mTGA,Trader Joe's,5.0,1,131,4.5
k2zE7IsSi2lVpnrjqZXAdw,P F Chang's China Bistro,5.0,1,126,3.5
_BL-KfyZqYruqDvxTY-vUg,Surang's Thai Kitchen,5.0,1,118,4.0
ZdQbDVZWDsO-d7q2qW8E3A,George & Son's Asian Cuisine,5.0,1,115,4.0
CLp44IJDJW2mBhSjdBIMiQ,Penn's Thai House,5.0,1,113,4.0
plRQRyL_xAY8sUTm4viP6Q,Basil 'n Lime,5.0,1,99,3.5
DvFOetqoZonh-7G6spAugw,Pei Wei Asian Diner,5.0,1,97,3.5
2mcmuAvpNIJuV3gV0v9v2A,Pholicious,5.0,1,88,3.5
3cSnc2Ts0GckC9QRvlQbKA,Noodle Exchange,5.0,1,86,3.5
wH_kpDuTE6ChDAp5AlMfJA,Mekong Palace,5.0,1,82,3.5
ykfL94V9KLT86s_tTzxwZQ,Pei Wei Asian Diner,5.0,1,68,3.0
--BlvDO_RG2yElKu9XA1_g,Asian Island,5.0,1,65,4.0
lJZ6Fmei-JTNb-6AsGVFJg,Orient House,5.0,1,63,4.0
PGkKmZIK_tCMbLPy1BRwMg,New York Chinese Restaurant,5.0,1,59,3.5
m2M7X5ItFvhOC7a6B7JcDg,George and Sons,5.0,1,56,4.5
xzEhmFvpuS_MlmMNTh2egg,Bund Shanghai,5.0,1,56,3.5
nH4CEJwrRXPxhfdL2pz3MA,King Wok,5.0,1,46,3.5
Y5clwKIHw8qTpy3pCH1BHQ,Golden Egg Roll,5.0,1,45,3.5
uhPXsYt-6nAzYcUoo2InFg,Tai's Asian Bistro,5.0,1,43,3.5
yOYFhiTjT-SM4spKtDk92w,China Chan Restaurant,5.0,1,40,3.5
0bQiWdKxj2EmsGYRVC9qyA,T & J Asian Cuisine,5.0,1,37,4.5
heA3OyKJq7O3HYPRAdfR4A,Beijing Chinese Cuisine,5.0,1,37,4.0
V3S6RpKgYc5XCLjgI9JeeQ,Diamond China Restaurant,5.0,1,32,3.5
phHXdTh5L2w8vQ9Gsmq27A,Yangtse Chinese Bistro,5.0,1,31,3.5
zUGy_9UtKDfjotmWpCu_Sg,Pei Wei Asian Diner,5.0,1,31,3.5
VQtMFcgkRz7MCIo9sPDaeg,Golden Wok Chinese Restaurant,5.0,1,30,3.5
dLqRa4P-ejeHxPHxZ2Naqg,Little Dumpling,5.0,1,30,3.0
nhpLx30hczfEsSXCTPy4tg,New York Wok,5.0,1,28,3.5
g4jli0i4Hb-b8kr46Aes7Q,China A Go Go,5.0,1,25,3.5
TqVjy0dxvNh51BF9KePCoQ,Chen & Wok,5.0,1,23,3.5
Jlih7uC9Bmq8vvtcypSq1A,Jungle Buffet,5.0,1,21,3.0
CuYHDItnOSfSlPfPDA9Btw,Golden Canyon Oriental,5.0,1,19,3.5
rYw9aNaG4WOM_zCm7wnzxA,Gourmet Wok,5.0,1,18,3.0
0LBv0QQK9L6ArPkO4eXjJA,Hong Kong Kitchen 3,5.0,1,17,4.5
0iZBk8n6Do6-488w9qCnYg,Taste Of China & Icy Bar,5.0,1,13,4.0
X6PFtUdbCIOrr0r5suKlRg,Big Wa Chinese,5.0,1,13,3.0
-7XuLxfYwZ9x72mEKXdv0A,Lin's Golden Chinese Restaurant,5.0,1,9,4.5
4RsM5U2poPyQZsaefj85lA,Hing Loon Chinese Ex,5.0,1,8,2.5
1CfO4SjPnui5dmdbY6b14Q,Jade Express,5.0,1,6,4.0
_ZGPu2iKQSfmQ8l8lYN9bQ,Dragon Bowl,5.0,1,5,4.0
