Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
LR9mX-3mh_PIEeG1A5zqxg,Iron Chef,5.0,4,60,4.0
stH6XAn2Drzol1H5oGvL2A,Jade Palace,5.0,3,68,4.0
UZS8qFGAZGGHTqYLApgANw,China Gourmet,5.0,3,49,4.0
7tF__YC7VkQs671ZtsYrgw,Great China,5.0,3,14,3.5
_j4jCjlnuUnsvq1UnfF1Ag,Pei Wei Asian Diner,5.0,2,52,3.5
v1ocqAm5soWTNPttLQhSZw,Shanghai Club,5.0,2,50,3.5
mV7VG6DwK2S57KJDlM29uQ,China Red Cafe,5.0,2,42,4.0
nLLs9fIiWw6WDku3_2NVVA,China Grill,5.0,2,41,3.5
wUPHVWGmoBU_gykHl1Kzxg,Joyful Chinese Dining,5.0,2,33,3.5
JxhSLFM7l0l2FYZs1ezf4A,China Wan Wan,5.0,2,31,4.0
wzK3QuhmrRrx6D0fRGjRZw,China One,5.0,2,19,3.5
LYCaveWFti6kUHpMzYKLjA,Big Heng,5.0,2,11,4.5
-7XuLxfYwZ9x72mEKXdv0A,Lin's Golden Chinese Restaurant,5.0,2,9,4.5
c1yGkETheht_1vjda7G5sA,Green,5.0,1,648,4.5
GHSgzzzSpapvYke8MX3blg,Weera Thai Restaurant,5.0,1,229,4.0
KTF-E3NfkJy2wiwcgOPyVQ,Tottie's Asian Fusion,5.0,1,173,4.0
HRwqeCdIH5joMnirnqrV3A,Pho Cao,5.0,1,122,3.5
a_wK-2KhPu-8DAwwRObr8A,Simi's Cafe,5.0,1,102,4.5
0QTn4pMzKv1mnQifcP9YoQ,Autumn Court Chinese Restaurant,5.0,1,86,3.5
l1kqHWtICTNk8TdCNisf5A,Tokyo House,5.0,1,85,4.5
Vxad8erFJI6CaWrQYlMqLw,Siri Thai,5.0,1,84,4.0
S4mUKPBHQeFLuPl2y3-Njg,King & I,5.0,1,63,3.0
oWiicnW4twnBLFT3sAVpGA,Mr. Beijing,5.0,1,62,3.5
47A3pWsdYNhFFy9gUEVcYQ,Pho Nhat,5.0,1,61,4.0
cnugQPvKa5Mq0bHj145gjg,Pasta China,5.0,1,60,4.0
30mZ_4EnXX4xVRFkAwcHjA,Sushi Kee,5.0,1,55,4.0
PkFBlpebCjEo4pDKgHJQzQ,Stick E Rice,5.0,1,53,4.0
F83X7F2FnEGyXJHc1rZxVQ,HK Seafood Garden,5.0,1,45,4.0
gWZMV5q8CSp8K5tZcMokCA,Lilly's Thai & Vietnamese Restaurant,5.0,1,45,3.0
PN9w-QGQtSwCmf4jcrme_g,Teriyaki Time,5.0,1,43,3.5
4_xxWpQKhBWhAOvfVPmFXQ,Yan's Chinese Food #2,5.0,1,42,4.0
1PQNIw4DgWTy_18cH5hVCA,China One,5.0,1,38,4.0
ePwLfpvB6QkBOtKIyPycPw,Royal Thai Grill,5.0,1,36,4.0
wZIryTDCEYtUvUqIGY9hPA,Ohana Hawaiian Bbq,5.0,1,36,4.0
s4Ki8L-zutVJexVSnFlP-Q,Sakina Thai Cuisine,5.0,1,34,4.5
n6Hau_a7miaQtlb6gC2boQ,Cafe China,5.0,1,32,4.0
MIgONuEZlXLyQ1xwKAwX0A,China Chef,5.0,1,32,4.0
wc0a0XLhcMkoEQx1TbuhpQ,Teriyaki Kitchen,5.0,1,30,4.0
LVUQqdy6sGRXO7UJqhC8-A,Long Life Vege Restaurant,5.0,1,30,4.0
9LWHrYjDQNjFSNH6VbSFrg,Ming's Pagoda,5.0,1,30,3.0
i5B5P2BxjQQvKZOcxWmVhg,Tasty Asian Kitchen,5.0,1,30,3.0
w-KjLZY8Nsv3zsD_qZJo7Q,Golden Harvest,5.0,1,29,4.0
Au2PcSBz3N212S7D10EbDQ,Spice Asian Bistro,5.0,1,27,4.0
e6Mpww7fKEmnfB4AaCAAyg,Hong Kong Kitchen II,5.0,1,26,4.0
8PYmv83XaJTioz5_A-SVxA,Asian Hong Kong,5.0,1,26,3.5
AYAb0qJX5wuT2sRtz4CjpA,The Wok Express,5.0,1,24,4.0
WHSBLu4SC7mQBmh-93F2WA,Hunan VIII Oriental Buffet,5.0,1,23,3.5
51iJ7zyvay9N_COWV0is_g,Mister Wong,5.0,1,22,4.0
yk9R3XBW6-zqrS3VIhkLFQ,China A GoGo,5.0,1,22,4.0
E4-5m-mkGoEtxqNQ2ikqLg,Food Express,5.0,1,21,3.0
