Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
LTHq7A5vVAwtqqu5i2ZLUQ,El Burrito Mexican Restaurant,5.0,5,33,3.5
znmvCpcwxYk_kYCqtUFt5Q,Fresh Mint,5.0,3,175,4.0
NFMlj1TMVqzvo8jlQp0dUA,Pho Viet Vietnamese Restaurant,5.0,3,104,4.5
vxxMqBaAHuWdx4impsLSSA,Studio B,5.0,2,1336,4.0
DxUn-ukNL27GOuwjnFGFKA,Hiro Sushi,5.0,2,280,4.5
V3ruBXjLGWniPNPQOzRhiw,Makino Restaurant,5.0,2,220,3.5
VD7schMLQg85O4M8Gxr28g,Greenland Supermarket,5.0,2,188,4.0
dMwwBt0BcE4zfIiBBXMogg,Jasmine,5.0,2,170,3.5
JOZqBKIOB8WEBAWm7v1JFA,Acacia Cafe,5.0,2,123,4.0
Y8OPM6aiLoGEQc6OXhnR8A,Spring Roll Factory,5.0,2,62,4.5
Mog8cxUbSs5DJ-4nGczi_Q,Sun Chinese Dining,5.0,2,31,3.5
p6NxiO9noWAYyF5QYaKOMQ,Chaiya Meditation Monastery,5.0,2,10,4.5
zt1TpTuJ6y9n551sw9TaEg,Wicked Spoon,5.0,1,3408,4.0
rBPQuQgTcMtUq5-RYhY2uQ,Le Village Buffet,5.0,1,1338,3.5
tqu42L0qXzkvYKSruOz0IA,Ellis Island Casino & Brewery,5.0,1,1085,4.0
eP9T-2a94ChFAl1Rd2R0jg,Trump Hotel,5.0,1,983,4.0
SDwYQ6eSu1htn8vHWv128g,Postino Arcadia,5.0,1,921,4.5
WT-v-DgQvW38DewVyTLdTA,Circus Circus Las Vegas Hotel and Casino,5.0,1,908,2.5
WnY4HPJIYNXOPQH2mFzl2Q,THEhotel at Mandalay Bay,5.0,1,824,4.0
4uGHPY-OpJN08CabtTAvNg,L'Atelier de Joel Robuchon,5.0,1,630,4.5
FURgKkRFtMK5yKbjYZVVwA,Windsor,5.0,1,550,4.0
bmNPNlCLDplWB55ic3Bixg,Shibuya,5.0,1,547,4.0
uqisw8IXD5ZutU4MT2MQVw,Social House,5.0,1,535,4.0
rNahhyqDlouyDMHh57p3ug,B&B Ristorante,5.0,1,519,3.5
2ceeU8e3nZjaPfGmLwh4kg,Casey Moore's Oyster House,5.0,1,445,4.0
Pgp3gbOQaJIdyjqC9AOz6g,I Love Sushi,5.0,1,428,4.5
AhpzPZH3b0PGT9mVoLCQDg,Kabuki Japanese Restaurant,5.0,1,267,3.5
QY8CBhPwv6dE4onjhj6MDg,Veggie House,5.0,1,259,4.5
438avb8WSYIKFn77dtsFow,Four Seasons Hotel Las Vegas,5.0,1,246,4.5
jk8FdDLywUHdjXldS8vtAQ,SnowFlake Shavery,5.0,1,240,4.5
xtX2qS64zP2NRPV_7NNqHw,Hyatt Regency Scottsdale Resort and Spa,5.0,1,215,4.5
sNuyncpQdcvfEpfZS-3Yew,Tott's Asian Diner,5.0,1,213,4.0
vEeiIvhzz29rO-6EPFqkjQ,Tableau,5.0,1,207,4.0
GEKcRNoBCISSKDS8531xmg,Whole Foods Market,5.0,1,207,4.0
xs1LHeJy78u-7taSEnQ2Yw,Moira Sushi,5.0,1,201,3.5
nmj5yK9dZ2atlM9RYDCRHw,Chompie's Deli,5.0,1,185,3.5
KTF-E3NfkJy2wiwcgOPyVQ,Tottie's Asian Fusion,5.0,1,173,4.0
rO3saNBRU2Pg16RyfEP6-g,Otro Cafe,5.0,1,170,4.0
fjAQGf-iJlVjD2vizzuORQ,Giligins,5.0,1,162,3.0
wgP52y-7FkrsZVVHGomoog,NAGA - Thai Dining,5.0,1,148,4.0
tMpFSMGrXz8dzvB9UZ69XA,Pho 87,5.0,1,148,3.5
-584fn2GxYe9sLsgN2WeQA,Great Links Hot Dogs & Grill,5.0,1,144,4.0
shCdCHRbnY5FTMJbWl-myQ,Thai Spices,5.0,1,141,4.0
WjwRpnFGmqQRMRw_c0H8dA,Naka Sushi,5.0,1,140,4.0
PxeX1M8WtyPxX1MuuGIh-g,Scott's Generations Restaurant & Delicatessen,5.0,1,138,3.5
jQST5lkLGX9L52-A10TGTQ,Tum Nak Thai,5.0,1,136,4.5
U2dZYCgkuS9SGgyKaCUlbQ,Jun's House Korean Restaurant,5.0,1,136,4.0
LTNKWxj4CzVVhhHFhGwa1Q,International Marketplace,5.0,1,132,4.0
yQONzVpX-DEpGSuKMIov6A,Szechwan Palace,5.0,1,131,3.5
24OmQWFTnbfGv-e8GyEMAw,Z'Tejas Grill,5.0,1,123,4.0
