Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
MAfc2V_EVtyR9rMxxEAPLg,Khai Hoan Restaurant,5.0,3,190,4.0
4OOi0RBsJmIzDfTVQ2mTGA,Trader Joe's,5.0,3,131,4.5
cBwc3dhdHw0emmg9nd5SXw,Royal Jasmine Thai Restaurant,5.0,3,64,4.5
LR9mX-3mh_PIEeG1A5zqxg,Iron Chef,5.0,3,60,4.0
2sn5BECdlYxqQlw1VODDoA,Wendy's Noodle Cafe,5.0,2,304,4.0
m4Vdae9cdx7bgr6bIjjbkw,Trader Joe's,5.0,2,103,4.5
qjMiVerFZZTu7-VSZijZEQ,Yellowtail Sushi & Steak,5.0,2,75,4.0
xpDSQoFsLQd8uojwjSic5w,Z's Asian Fusion,5.0,2,42,4.5
QM3dsi5TD4FCL0BpFU6frg,Qwik Chinese Bistro,5.0,2,38,4.0
s4Ki8L-zutVJexVSnFlP-Q,Sakina Thai Cuisine,5.0,2,34,4.5
YAKjcrBjkF3Q3BQSggtwOA,Lotus Garden,5.0,2,31,5.0
i5B5P2BxjQQvKZOcxWmVhg,Tasty Asian Kitchen,5.0,2,30,3.0
uFwC7N9APy8oTjhda3p9lw,Asian Cafe,5.0,2,28,4.0
B47dTeqasE9UnrdaWxeBuw,Atami Sushi,5.0,2,19,4.0
V8kqWlhtJg3Uhio-KSeq0A,Sai Wan Bistro,5.0,2,11,3.5
mhuiV0Q3wDZH7VYtcpuYgw,Panda Express,5.0,2,7,4.5
1LVq-vrSkNSD0EIIBLnlSw,Oasis Asian Kitchen,5.0,2,6,5.0
rBPQuQgTcMtUq5-RYhY2uQ,Le Village Buffet,5.0,1,1338,3.5
AeKTQBtPRDHLAFL9bzbUnA,Sushi House Goyemon,5.0,1,856,4.0
kwEQ3uY9Jwmknb5kNg3UlA,Grand Lux Cafe,5.0,1,699,4.0
yD1dRYi7USzhYVKiqZ7JVg,Sushi Mon,5.0,1,562,4.0
uqisw8IXD5ZutU4MT2MQVw,Social House,5.0,1,535,4.0
xxOQ7h6s3InV8o8DOVHlMA,Island Style,5.0,1,415,4.5
uCoNIQty4nPrhn_WHo110A,The Cheesecake Factory,5.0,1,272,4.0
riTkPznlAPl86dazAjPO3A,Michael Mina Pub 1842,5.0,1,239,4.0
RhqrOvy6Zr8vn5pJ9PkF1A,Wazuzu,5.0,1,234,3.5
Xnwjo2TUu4AyGdmsxeG7OQ,Cathay House Restaurant,5.0,1,219,3.0
Rzg2-ugIG_UxQCN_JqXDcA,Mr Tofu,5.0,1,177,4.0
iDQK85-DyIlSpTz_XhkZVA,The Cheesecake Factory,5.0,1,168,3.5
EQQOPKL3rmPsH73IF7kvjw,Johnny Smalls,5.0,1,134,3.5
u-nMW__EKMYH_PVqacYc3Q,Loving Hut,5.0,1,125,4.0
_BL-KfyZqYruqDvxTY-vUg,Surang's Thai Kitchen,5.0,1,118,4.0
EfmR4e1tmjC5_ZQOgfnYrg,Roma Garden Ristorante,5.0,1,113,4.5
z4KFTJQsAdxqMZA7Fx0A9A,C-Fu Gourmet Restaurant,5.0,1,110,3.5
52ThhgAweE-ZOhj8ugjS0w,Sakun Thai,5.0,1,99,3.5
TLGCA3EQW_12ndci12dQWw,Bangkok 9 Thai-Chinese Food,5.0,1,96,3.5
QgFlkWtQcmVS_hvF0w-nQQ,Trader Joe's,5.0,1,94,4.5
U8pLRrR-17w74U5cWLDWmA,Ruth's Chris Steak House,5.0,1,90,4.0
2mcmuAvpNIJuV3gV0v9v2A,Pholicious,5.0,1,88,3.5
fJzKYljToXOauSohw9cMIA,Thai Buffet & American Sandwiches,5.0,1,85,4.0
MfQWzjADewehBJaK4oGj3g,Bazic Bar & Restoyaky,5.0,1,84,3.5
hwXFp8FKJ7ivQb8_f4X23g,La's Thai Cuisine,5.0,1,82,4.0
QXTN5WwZxvf-Z940RmDUdQ,Thai Grill,5.0,1,81,3.5
WbgDscs1H4kXOZdoDs2aow,Jun's Korean Restaurant,5.0,1,72,4.0
4TWNKtG_S2kMdwNbERK45g,Binion's Cafe,5.0,1,72,3.0
5x3aA0DSo8nqU13IZyH79A,Super L Ranch Market,5.0,1,71,3.5
nbpY3tbPrAksoqOrYwlx7Q,Husnu's,5.0,1,68,3.5
kGEW4XXJQ2FS94gZv_N7VA,Thai'd Up,5.0,1,68,3.5
G9KKI4P4D9LiPkbTTZLXdA,Feast Buffet,5.0,1,65,2.5
wfehmd8XHuptcoSQ64V9Mg,Whole Foods Market,5.0,1,63,4.0
