Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
3NqERLqdtQSe0w9540rZrQ,The Street,5.0,4,130,4.5
YNQgak-ZLtYJQxlDwN-qIg,The Buffet,5.0,2,2791,4.0
RE3xkxkjmHQIARrLSIeerg,The Henry,5.0,2,338,3.5
XU5Fb3TosXDUJcNRWQM5cA,32 Shea,5.0,2,229,4.5
u-nMW__EKMYH_PVqacYc3Q,Loving Hut,5.0,2,125,4.0
m4Vdae9cdx7bgr6bIjjbkw,Trader Joe's,5.0,2,103,4.5
raqYREIyRhb4HYiOqBiHNw,Avery's Coffee,5.0,2,34,4.5
Bgkngitnems-F7NQTmMhBQ,Starbucks,5.0,2,9,4.0
RbkLrCFa2AL1K25GCnNK8A,LVH - Las Vegas Hotel & Casino,5.0,1,914,2.5
L9UYbtAUOcfTgZFimehlXw,Liberty Market,5.0,1,603,4.5
bmNPNlCLDplWB55ic3Bixg,Shibuya,5.0,1,547,4.0
e8FMAuTswDueAlLsNyLhcA,Daily Dose,5.0,1,481,4.0
OHsuvX4rmhnPvvRBb-QK7A,Baguette Cafe,5.0,1,453,4.5
-4A5xmN21zi_TXnUESauUQ,D'lish,5.0,1,429,4.5
udGgvy4TYdsdv13j1UzOIg,Red Velvet Cafe,5.0,1,286,3.5
7YYD_agS3Kb2sAx9JPkQEw,Queen Creek Olive Mill,5.0,1,241,4.0
jfDBaBgwINrGYAo8p2MJ4g,China Magic Noodle House,5.0,1,240,4.0
St3jS0PnF1lulH1ggA4Jgw,Luci's Healthy Marketplace,5.0,1,233,4.0
d4bXnfbUc1SLu3jVcr-w1w,MTO Café,5.0,1,220,4.5
tZXPhvufHhfejGrRp554Lg,Scratch Pastries & Bistro,5.0,1,191,3.5
yJMLD-6AggZNdC-GonVBsA,Binkley's,5.0,1,171,4.5
lcq2CBlGdnVWzTDlrBAJ7w,Serenade,5.0,1,160,4.0
NFWJ8ZY88BtrcrMYRAj9gA,Pho Bosa,5.0,1,156,4.0
WJ5mq4EiWYAA4Vif0xDfdg,Lola Coffee,5.0,1,145,4.0
uYKwS-biARKgBkk5rY_PaQ,Twist by Pierre Gagnaire,5.0,1,144,4.0
jEPe6jQ5K9zfnLudnnzO2Q,Switch Steak,5.0,1,144,3.5
v8cTq3_Ll2E8_EvD0dCsow,Daisy Cafe and Cupcakery,5.0,1,137,4.0
Sd9exwQrSKcZiN3RAhcAUA,The Green Owl,5.0,1,131,4.0
o-0IU3bcuXnxflPo14cjUQ,Whole Foods Market,5.0,1,127,4.0
HgWv_Tb1vlz-iMQAQ2OhuA,Holley's Cuppa,5.0,1,116,4.5
bsIG-bXSRcCx62k4lHBEcw,Fresh Mama,5.0,1,100,3.5
ORiLSAAV4srZ_twFy1tWpw,"Hotel Palomar Phoenix, a Kimpton Hotel",5.0,1,96,4.5
Q0AADLgsYi1sFDk8jtMYUw,Steve's Espresso,5.0,1,93,4.0
OgxpW_ZWDJ53m7s449Ufrg,Henry's Taiwan Kitchen,5.0,1,90,3.5
nUUYvBafHYH-O4Pht6lgsw,Salad and Go,5.0,1,80,4.5
5nCo6iU2uysEthHY5m72Jw,Drugstore Café,5.0,1,77,3.5
oOo0xGOVq7cYTP1fORdoFg,Aj's Purveyor of Fine Foods,5.0,1,72,4.0
o15PeOAUzpcCl8ngk0lMHw,Thai House Restaurant,5.0,1,70,4.0
LIOQh6eCJUPyj4ixIE-I9A,Coffee Rush,5.0,1,62,3.5
Y2Lfzulh_D9nNcuH49UT4w,Sushi On Shea,5.0,1,61,4.0
6JE0fp84Ws59Oh_sQoaWkQ,Romancing the Bean,5.0,1,60,4.0
dsh91PoFIn_gHCFEM0okHw,Sunflower Market,5.0,1,56,4.0
mPxByzuOwA286OcG-IyYoQ,Target,5.0,1,55,4.5
OIz-ANecBe-GOZVZZUHSXA,Sugar Bee's Bakery,5.0,1,51,4.5
6yuY73ycyyPiIG3zWkXqPQ,Tempe Farmers Market,5.0,1,51,3.5
5nahZe5bBYUbFWgEfwoNOA,Sunflower Market,5.0,1,50,4.5
-x_jL2OCWPdObGTOwIpN4w,It's A Grind Coffee House,5.0,1,50,4.0
wRnX8AV5CAAJnEgReTMaHw,Boba City Cafe,5.0,1,50,3.5
bd2G9twGt2En6wlg2sAsmg,Dutch Bros Coffee,5.0,1,48,4.5
ZTuzUMRsaSJpMRqeu0_eag,Shine Coffee,5.0,1,46,4.5
