Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
EUmfOpiQxJ5yaEMypI30gQ,Leticia's Mexican Cocina,5.0,4,352,4.0
enbTOcl7WNgsjsAtmhvDRA,Mu Shu Asian Grill,5.0,4,66,4.5
l3L25Yg_8E11tsS2D8ml-g,Thai Food To Go,5.0,3,142,4.5
u-nMW__EKMYH_PVqacYc3Q,Loving Hut,5.0,3,125,4.0
DjOxXobyGDwWt89q4z1twg,Monta Ramen,5.0,2,1127,4.0
mhQCxOiqp03qnhGRTtPduw,unPhogettable,5.0,2,326,4.0
hsM6PF4Of6RMNcQV_c-FVQ,Javier's,5.0,2,300,4.0
90AXjqb4O-wrTHDKDoDUzg,Yupha's Thai Kitchen,5.0,2,293,4.0
ZFAq9lpm2wXihzvMLSsRJQ,Panna Thai,5.0,2,175,4.0
93hdmjYc8IXsf69VrkRHog,Good Fellas Grill,5.0,2,149,4.5
rGvkljWlP7ysvLEUucoyqA,Zaytoon Mediterranean Market and Kabob,5.0,2,122,4.5
j70ROF6rKpipGUiaYzrnRA,Hula's Modern Tiki Scottsdale,5.0,2,111,4.5
nKrK1aK2uWtL57Q3ShH6Hg,Yume Sushi Grill,5.0,2,111,4.0
lYTR-gsp_tAF4eiUw6jw0g,Kaizen Fusion Roll & Sushi,5.0,2,91,3.5
OWQJrnXbWkLTI1-qRkkUpQ,Golden Flower Chinese Cuisine,5.0,2,89,4.0
mWTFbL-ilQiQ9iQwPnViQw,Fu Fu Cuisine,5.0,2,60,4.0
76jf1_2bJCpnF33ZrAgGgA,Jugoo Chinese Restaurant,5.0,2,34,3.5
WxdJMX3rQH4koWgT3hm8_A,Fix8 Fitness Cafe,5.0,2,18,4.5
OiCxoAIoBvEWxf7p1qVVmA,Sage,5.0,1,646,4.0
j_pce4pG9krrBeYwUni8Pg,Yard House,5.0,1,641,4.0
rfDTJLEwZZ2EGOZiTDdqQA,Sushi Roku,5.0,1,579,4.0
blgSBn3CimrCHn2SuZvcZw,Viva Las Arepas,5.0,1,426,4.5
OwBPjUz2o0J5K3DzcHkBtg,Soho Japanese Restaurant,5.0,1,424,4.5
bzDs0u8I-z231QVdIQWkrA,Los Reyes De La Torta,5.0,1,358,4.5
Te5dA0G1-SWKGS8nuJp0Tg,Mundo Restaurant,5.0,1,304,4.0
fH5QqIDiwcgEnrSJYuiaaw,Musashi Japanese Steakhouse,5.0,1,286,4.0
nMHhuYan8e3cONo3PornJA,Nobuo At Teeter House,5.0,1,279,4.5
17FKJgS11HppOf00qXKEqA,Lemongrass Café,5.0,1,274,3.5
jqMWeYMVeqnvHNeMd772Ew,Rambo's Kitchen,5.0,1,246,3.5
P8DQlNd4ZVCtxFsH_QARFQ,Asian BBQ & Noodles,5.0,1,238,4.0
th4uGmjyjPnQpN-ukf20PA,Ha Long Bay Vietnamese & Thai Bistro,5.0,1,228,4.0
G149aO4XXAKBsUcksvuI7g,Original ChopShop Co.,5.0,1,228,4.0
jBb5KHHAj4s8hcXVS6QXDg,Houstons,5.0,1,217,4.0
kfscAJnLVf6J2uEte7g-5A,Yoli's Cafe,5.0,1,213,4.0
jJlOPkv4Xl6vxNzr51fnYw,Saigon Pho,5.0,1,209,4.0
atzOrsnL_2pL6OttGbgUeA,La Comida,5.0,1,206,3.5
BjWJRBhTC0sev3qEI3m2Hg,Rumjungle,5.0,1,200,3.5
orRee-skZXdMw0DYtMGo5w,808 Tapas East-West Infusion,5.0,1,189,4.0
QvRK2dyv4EDxuJ-LuodE2Q,Gordon Biersch Brewery Restaurant,5.0,1,189,3.5
Je396Ev-dvAvl3ei-O0EIg,Angry Crab Shack,5.0,1,187,4.0
xOy3lZcDvGp40BI5x-PR9w,The Sparklings,5.0,1,178,4.5
A-wbnt6g19IWirBswkzsig,Samba,5.0,1,178,3.0
IMGW6y8wHQCfr_6k-YXg_A,BJ's Restaurant & Brewhouse,5.0,1,174,3.5
0db71MbrvcJnyk71COCJBg,Great Wall Cuisine,5.0,1,170,4.0
mhLN_oiJd7zq6eaOS1Nw1A,Roy's Restaurant,5.0,1,166,4.0
VumF-JLfeUxfvBdt9JQ_lQ,Spicy Tuna Sushi,5.0,1,136,4.0
4NPD3ecBbUdfcS9FAuwJIA,Chanpen Thai Cuisine,5.0,1,134,4.5
hU1wB9jePbd0dhTBcrpYvQ,Cuba Cafe Restaurant,5.0,1,133,4.0
I1rvqU2k5UQGo2lGdY6hyw,Siam Thai Cusine,5.0,1,132,4.5
5YgXxBUzhf3qh8F8wYSqsA,Krazy Buffet,5.0,1,124,3.5
