Business_ID,Restaurant_Name,Average_Rating,Dish_Review_Count,Total_Review_Count,Overall_Rating
uTd7ksJAy7Zta9r0UXQIuA,Lillie's Asian Cuisine,5.0,4,44,3.5
mV7VG6DwK2S57KJDlM29uQ,China Red Cafe,5.0,4,42,4.0
XbVqzUHS3c9FhG4lI13c3Q,Maxim Restaurant,5.0,3,119,4.0
YAKjcrBjkF3Q3BQSggtwOA,Lotus Garden,5.0,3,31,5.0
8buIr1zBCO7OEcAQSZko7w,Firefly,5.0,2,1355,4.5
jJlOPkv4Xl6vxNzr51fnYw,Saigon Pho,5.0,2,209,4.0
0db71MbrvcJnyk71COCJBg,Great Wall Cuisine,5.0,2,170,4.0
vIDQO_9Ytf10vEndDOih8Q,Aloha Kitchen,5.0,2,138,4.0
sNBquLTaV3IbUWkzSUlTpw,Sakana,5.0,2,129,4.5
j70ROF6rKpipGUiaYzrnRA,Hula's Modern Tiki Scottsdale,5.0,2,111,4.5
VEojEXbJ81eiPLSSF9jNEQ,YC's Mongolian Grill,5.0,2,109,4.0
a_wK-2KhPu-8DAwwRObr8A,Simi's Cafe,5.0,2,102,4.5
FPlwns4ef0bbN2RF1qfTsg,Sushi Imagine,5.0,2,84,4.5
F3SEkW6v2LJ5y6Ldo5pPaw,Super Dragon,5.0,2,61,4.0
7Dznb4ZA6swheppiS9nPig,Redwood Bar and Grill,5.0,2,52,4.0
sCv1wUWJhFmQEMw3A4lwXQ,Wong's Restaurant,5.0,2,46,4.0
wUPHVWGmoBU_gykHl1Kzxg,Joyful Chinese Dining,5.0,2,33,3.5
e-eqwMPMDXPYSdwkQbYhSw,Cheng's Express,5.0,2,24,2.5
AxScnvjfLqpPmTLXGjNhcA,China Gourmet,5.0,2,23,4.0
tFU2Js_nbIZOrnKfYJYBBg,Bouchon,5.0,1,2419,4.0
34uJtlPnKicSaX1V8_tu1A,The Venetian Resort Hotel Casino,5.0,1,1939,4.0
-7yF42k0CcJhtPw51oaOqQ,Bellagio,5.0,1,1537,4.0
BqrTtox0JbG-P_DKBB5bBw,Holsteins Shakes and Buns,5.0,1,1523,4.0
DUdBbrvqfaqUe9GYKmYNtA,The Mirage,5.0,1,1051,3.5
naLrErBuJr9IWd6_rv6-XQ,CUT,5.0,1,718,4.0
q_DrPmiLrHEpR_SQvQXELQ,Nobu,5.0,1,697,4.0
cN6qpVw6RaSrSI-JGGF4Tw,Jaleo,5.0,1,617,3.5
-5RN56jH78MV2oquLV_G8g,Picasso,5.0,1,485,4.5
O-Xa9GCFWI65YiBD5Jw_hA,Mastro's City Hall Steakhouse,5.0,1,454,4.5
CEN7vLJ4uBO-rLt9GwgF6A,Talking Stick Resort,5.0,1,279,3.5
Fklm4Zi7nloG1SfLpnmEkA,Nove Italiano,5.0,1,272,4.0
nEY3mwbpAJlQ5FOQ-F4Giw,SEABLUE by Michael Mina,5.0,1,241,4.0
0mPrp8m_caTxdSGfIxNtTw,Tommy Bahama Restaurant & Bar - Las Vegas,5.0,1,205,4.0
tLLz1fzVjG84LF-mv9hAEw,Mandarin Bar,5.0,1,197,4.5
MAfc2V_EVtyR9rMxxEAPLg,Khai Hoan Restaurant,5.0,1,190,4.0
dXhrxTIatUPskg7Jn12iXQ,Imperial Health Spa,5.0,1,176,4.5
IMGW6y8wHQCfr_6k-YXg_A,BJ's Restaurant & Brewhouse,5.0,1,174,3.5
5KG0A3WlC7K3DAXtrIFFjg,Lee Lee Oriental Supermarket,5.0,1,173,4.0
CVos739DJ06t8-dNiRMyeQ,Thai Chili,5.0,1,172,4.0
Fpv7AFYvT-rsQImxIGwI7Q,Trattoria Nakamura-Ya,5.0,1,162,4.0
4zfrcEmGvZ4oYKx_revTxA,Pho Chandler,5.0,1,157,4.0
Zq-yfLJYy7245p-O8-PqGA,Viet Bistro,5.0,1,156,4.0
l3L25Yg_8E11tsS2D8ml-g,Thai Food To Go,5.0,1,142,4.5
oGE8GPmBvHXQskP-m2cdLw,L'Etoile,5.0,1,140,4.5
UCid2Tas6K4SB9sHO9gQ8w,Elephant Bar Restaurant,5.0,1,133,3.0
I1rvqU2k5UQGo2lGdY6hyw,Siam Thai Cusine,5.0,1,132,4.5
mFBBtUrWMqikBS-Jn-RiIw,SOLO Trattoria,5.0,1,124,4.5
oIkwj10HmUiognO68j7jOg,Kona Grill,5.0,1,123,3.5
E2QqC0cc7zC4DlRfLoXMMA,Kaizen Fusion Roll & Sushi,5.0,1,115,4.0
nefBMCGgMPvOnASoyO_X1A,Krua Thai Cuisine,5.0,1,111,4.0
